,x
1,CD103
2,CD107a
3,CD117
4,CD11b
5,CD11c
6,CD123
7,CD127
8,CD133
9,CD134
10,CD137
11,CD14
12,CD141
13,CD15
14,CD152
15,CD161
16,CD185
17,CD19
18,CD194
19,CD195
20,CD197
21,CD1c
22,CD20
23,CD206
24,CD223
25,CD25
26,CD254
27,CD27
28,CD273
29,CD274
30,CD278
31,CD279
32,CD28
33,CD30
34,CD304
35,CD314
36,CD357
37,CD366
38,CD38
39,CD39
40,CD4
41,CD40
42,CD45RA
43,CD56
44,CD62L
45,CD66b
46,CD69
47,CD81
48,CD95
49,HLA-DR
50,KLRG1
51,TCRVdelta2
52,TIGIT
