,x
1,Bcell
2,CD4Tcell
3,CD8Tcell
4,cDC
5,Endothelium
6,Fibroblast
7,LungEpithelium
8,M2Macrophage
9,Macrophage
10,MalignantEpithelial
11,NKcell
12,NKTcell
13,ProliferatingCell
