"","P1_2020Oct","P2_2021Mar"
"AHR",77,59
"AR",24,1
"ARID3A",91,123
"ARNT",79,71
"ARNTL",18,76
"ASCL2",83,47
"ATF1",131,110
"ATF2",149,112
"ATF3",108,45
"BACH1",62,25
"BACH2",45,5
"BARX2",159,105
"BATF",174,72
"BCL11A",126,20
"BCL6",161,44
"BHLHE40",133,22
"CEBPA",135,63
"CEBPD",75,14
"CLOCK",6,9
"CTCF",132,143
"E2F2",84,136
"E2F3",44,60
"E2F4",57,68
"E2F6",52,163
"E2F7",4,64
"E2F8",136,170
"EBF1",157,19
"EGR1",171,165
"EGR2",163,142
"EHF",114,138
"ELF1",73,28
"ELK1",34,107
"ELK3",125,160
"ELK4",71,55
"EPAS1",155,131
"ESR1",5,149
"ESR2",39,87
"ESRRA",64,6
"ETS2",177,79
"ETV1",170,172
"ETV5",48,164
"ETV6",173,115
"ETV7",105,36
"FOS",144,121
"FOSL1",78,144
"FOSL2",29,11
"FOXD2",31,57
"FOXH1",43,31
"FOXK1",166,89
"FOXM1",142,173
"FOXO3",151,111
"FOXP1",68,38
"FOXP2",143,127
"FOXP3",167,168
"GATA1",60,92
"GATA2",117,171
"GATA3",98,139
"GATA4",15,41
"GLI2",12,54
"GLIS1",67,18
"GMEB1",139,74
"GMEB2",61,26
"GRHL2",154,49
"GTF2B",179,180
"GTF2I",65,2
"HEY1",8,53
"HIF1A",30,90
"HINFP",38,128
"HNF1B",100,114
"HNF4A",82,135
"HNF4G",106,146
"HOXA1",76,148
"HOXA4",180,154
"HOXB13",3,106
"HOXC6",164,42
"HSF1",21,88
"HSF2",94,52
"IRF2",110,30
"IRF3",14,86
"IRF4",59,78
"JUN",72,70
"JUNB",172,174
"JUND",181,181
"KLF1",40,17
"KLF10",176,126
"KLF3",158,157
"KLF4",111,134
"KLF9",129,50
"KMT2A",104,51
"LHX2",53,167
"MAF",47,147
"MAFF",95,95
"MAFK",25,108
"MECOM",134,104
"MEF2A",145,21
"MEF2C",63,13
"MEIS1",113,150
"MITF",138,81
"MNT",46,145
"MXI1",9,122
"MYB",33,175
"MYBL2",55,24
"MYC",152,141
"NANOG",146,80
"NFAT5",93,132
"NFATC1",150,34
"NFE2",103,109
"NFIC",41,102
"NFYA",130,85
"NFYB",97,97
"NKX2-1",13,84
"NR2C2",11,37
"NR2F2",87,161
"NRF1",27,69
"PAX5",116,119
"PAX6",1,91
"PBX1",54,56
"PBX3",56,100
"PGR",17,23
"POU2F1",20,153
"POU2F2",7,116
"PPARG",119,58
"PRDM1",121,179
"RARG",124,32
"RBPJ",148,113
"RELA",74,140
"REST",66,82
"RFX2",16,27
"RFX5",109,61
"RUNX1",80,98
"RUNX2",36,39
"RUNX3",107,93
"RXRA",58,10
"RXRG",70,159
"SETDB1",49,117
"SIX5",96,137
"SMAD3",178,152
"SOX17",137,7
"SP1",128,66
"SP4",23,67
"SPDEF",90,12
"SPI1",115,151
"SPIB",123,62
"SREBF1",120,46
"SRF",86,178
"STAT1",32,16
"STAT2",99,156
"STAT3",165,155
"STAT4",88,73
"STAT5A",156,35
"STAT5B",112,43
"TBP",92,99
"TCF12",51,75
"TCF21",141,8
"TCF3",102,166
"TCF4",169,120
"TCF7L2",35,96
"TEAD4",85,40
"TFAP2A",122,162
"TFAP2C",42,176
"TFAP4",147,130
"TFDP1",118,3
"THAP1",2,4
"TP63",22,177
"TP73",81,118
"USF1",168,133
"USF2",19,65
"VDR",160,124
"VEZF1",162,48
"XBP1",10,169
"YY1",175,158
"ZBTB33",28,94
"ZBTB7A",140,77
"ZBTB7B",26,29
"ZEB1",37,33
"ZFX",153,125
"ZKSCAN1",127,83
"ZNF143",101,129
"ZNF263",69,101
"ZNF384",89,15
"ZNF76",50,103
